Id,Predicted
0,3386.6782522994367
1,2702.6938306545335
2,3435.0810632239873
3,1995.394434373918
4,2681.7537542269874
5,2096.3791101873435
6,2190.371965218843
7,3269.2837543363466
8,2495.8424940151763
9,3792.3104555175773
10,2132.136249040902
11,2740.264299667798
12,2771.8700366296976
13,2625.924811620825
14,2183.5184728210943
15,2631.758942430911
16,1956.2686732010027
17,2465.9036438598746
18,2350.1436038107076
19,3090.2180982303557
20,1904.3931708877728
21,2920.7187494575746
22,2365.5788189549653
23,3081.185372442467
24,3163.9477465015225
25,1948.7878502155352
26,2389.523546464663
27,2637.7063807329428
28,2420.9010989160797
29,3236.5657288068255
30,3152.903335023253
31,2435.9821020251698
32,2290.756000121734
33,2566.3645854510096
34,1935.0209027646547
35,2015.44889515361
36,1480.1919463951278
37,2712.720989805584
38,3070.2018938322667
39,3085.76709184433
40,2038.3001939570313
41,3037.431723504584
42,2958.0498883890104
43,2672.579741979319
44,1814.5029377868361
45,3195.6312662723294
46,2489.4650664587566
47,2423.6560120215167
48,2180.5426431357614
49,1890.1975783924236
50,1914.477147938745
51,2716.2166834999607
52,2399.288531180537
53,1758.7174672587737
54,1869.5601654171874
55,3428.759464293794
56,3003.395537169787
57,3129.733759009436
58,2301.0981537026673
59,2611.0306132992264
60,2324.7016502794895
61,2333.115670294421
62,2808.1816099811817
63,2340.2630438601614
64,2799.0937755241266
65,2736.8802323757736
66,2574.5293495555165
67,2594.691008210898
68,2228.8805490108907
69,2685.7352087436493
70,1812.0186049425392
71,2227.2181089526566
72,2846.804249776713
73,2128.926625301285
74,2708.160830987368
75,2854.769406639553
76,2058.8944779793287
77,2275.5822732301494
78,3321.356583182731
79,2723.91721007213
80,2685.1513935625558
81,2602.289368652031
82,3244.0435892863766
83,2288.833200561017
84,2430.6331780880632
85,2398.160388840231
86,3321.6804362314006
87,2430.550161483731
88,2086.30605611861
89,2291.864427521076
90,2599.540017056772
91,2370.6901075564906
92,2767.8730009834094
93,1938.8054257168953
94,3725.106208272501
95,2411.4639593407214
96,2676.3191045103104
97,2057.306011540277
98,2451.294025233609
99,2386.2077625441975
100,2656.7517784032384
101,3213.907014796389
102,2841.5298091146124
103,3149.7832282923428
104,2240.6374503916436
105,4443.95187864312
106,1909.3665740044567
107,2236.0604538149364
108,2595.073205954251
109,2471.3156089255936
110,1900.5016131177672
111,2075.6243181008595
112,3382.3041528651042
113,2268.745472590989
114,1989.4694725015295
115,2061.527863517491
116,2063.3978725712423
117,2424.4277623496737
118,2481.7172033568786
119,2039.9146954649927
120,3244.6116337764925
121,2438.979021610936
122,3362.2301879058955
123,2608.369140498002
124,2471.1062992928255
125,2893.9972608905023
126,2356.593190808078
127,1977.4284724190366
