Id,Predicted
0,3262.7995081114973
1,2679.9489787971343
2,3774.2662509193833
3,2123.1204862589343
4,2533.704257319685
5,2149.1061765248796
6,2159.337808306867
7,3323.484666555032
8,2664.6931129656978
9,3946.7110061701483
10,2089.215780782919
11,2822.6813068489105
12,2893.340323215912
13,2603.0715015038068
14,2231.2321178676802
15,2544.640750133131
16,1994.8112560068785
17,2538.924278425708
18,2356.1474657443464
19,2831.2005103663687
20,1842.22591732187
21,2967.471911197521
22,2343.1298616999015
23,2833.211087230025
24,3240.606999764898
25,1944.262639581507
26,2318.7130554415894
27,2513.4851076068267
28,2379.1821092863906
29,3332.4083764763104
30,3047.2209720591436
31,2433.701018780243
32,2217.783236739788
33,2454.5937490832116
34,1943.6593579592582
35,2018.260975075403
36,1457.7979265994336
37,2652.5460923326887
38,3009.755046694631
39,3132.8514302346866
40,1969.4665137688062
41,3019.46188917608
42,2989.1337547922085
43,2748.883180753508
44,1833.8066404111967
45,3368.044012454953
46,2231.0081441626958
47,2335.7979975026938
48,2136.000452003757
49,1857.828096078005
50,1860.6454113963325
51,2558.7397740520346
52,2501.838309087421
53,1744.7727464737716
54,1882.640178469553
55,3514.4904544721626
56,2927.2580910653355
57,3110.505384777772
58,2190.5479841886004
59,2685.08795394339
60,2378.0716933176122
61,2389.3339819815064
62,2882.4734210591832
63,2290.2136326875802
64,2774.857654643835
65,2810.022496898758
66,2478.8010782180645
67,2436.383730013678
68,2287.9414232369195
69,2731.108541989219
70,1541.9319940064345
71,2115.1562158429297
72,2829.4372396536637
73,2178.048451220735
74,2695.8093178399427
75,2925.0757615388825
76,2071.6339972034
77,2345.6962873698685
78,3323.696275329928
79,2746.576910682259
80,2683.43332257269
81,2492.0202975478132
82,3314.5846709681077
83,2317.5292725697213
84,2333.5449647488153
85,2342.1121747351444
86,3038.385260030065
87,2298.0005635231573
88,2020.999533198198
89,2379.1060871029144
90,2721.625648715574
91,2386.5814714988537
92,2661.4112918288456
93,2019.446613434596
94,3939.702766868566
95,2465.2905330984313
96,2460.2283772398537
97,2153.668461846973
98,2568.499114372927
99,2418.4228578541843
100,2784.1941716770502
101,2858.4796560426435
102,2761.3668087705714
103,3223.7046376095764
104,2212.9575832375435
105,4477.2626257380725
106,1853.4079237047454
107,2111.8978311258247
108,2914.2128736426926
109,2503.0584956076627
110,1880.6892280583468
111,2077.8538752332624
112,3670.357707805438
113,2284.2279743245635
114,2132.7072337535096
115,2061.167354322092
116,2107.838681685778
117,2518.8515404547884
118,2309.2305009714487
119,2024.9736500715546
120,3100.93064399857
121,2615.978281033234
122,3525.4122614398643
123,2684.182256927515
124,2488.8320958184254
125,3029.0815763532173
126,2403.1284733671996
127,1982.9529511366818
128,2923.545522134586
129,3083.7658204263703
130,4230.635573048513
131,1844.5746328391094
132,3502.3731574564445
133,3052.9689230727686
134,2605.9327198718383
135,2036.186403862339
136,3100.93064399857
137,2979.225287316065
138,2446.9535803484437
139,2025.2489118824033
140,3029.783368334018
141,3374.9630843407344
142,1970.537570776735
143,2517.489014169827
144,3444.4163465688766
145,2166.46088463113
146,2867.8036373577
147,2508.353304285552
148,2538.1402851832445
149,2593.204055525099
150,3125.944728039451
151,2674.4339283246336
152,3325.3893002778254
153,3440.299951735451
154,2082.4841639525694
155,3135.8049488523925
156,2260.9956077946404
